country,avg_carbon_intensity,avg_T,avg_I,avg_F,avg_renewable_ratio,avg_fossil_ratio,total_energy_avg,avg_TIF_entropy
Norway,0.0,0.8653510997475673,7.719245283018868,93.71074221652829,0.983956570948505,0.01118069688438821,414.47308905445584,0.28531951581731424
EU27 & UK,0.0,27.303596909652317,7.719245283018868,58.1745755012482,0.6131836858345935,0.31632731925085533,7191.796232339623,0.8470741710714312
Costa Rica,0.0,7.799363907141523,7.71342383107089,80.14296194274587,0.8395949393893454,0.02766322965430673,33.317225813905964,0.5437125228929125
New Zealand,0.0,18.2535199869616,7.819571865443425,62.57134609586601,0.6565062138829151,0.14585956193428037,111.51129375971779,0.7803673203259505
France,0.0,4.491508878308638,7.722159305398264,86.32578791083482,0.9263502822411098,0.06401782683381843,1392.290963022699,0.44319933088701385
Brazil,0.0,9.704293801684662,7.819571865443425,83.45389402996399,0.873408958723809,0.11235842838880704,1716.4683091706695,0.5531481739344142
Finland,0.0,14.846924079016127,7.719245283018868,72.20352777215133,0.766404950949953,0.11861779741961896,188.22964444936605,0.6802443042998708
Austria,0.0,11.327709086850183,7.719245283018868,76.60375553480854,0.8010810502595901,0.1511984542441217,89.40101276621887,0.6040806483166593
Peru,0.002957336366581034,21.24499372650308,7.71342383107089,61.60648754726408,0.6463850669202055,0.34739550893091525,144.46806182125565,0.7884378280167551
Romania,0.006819723935564978,28.80683132098128,7.719245283018868,59.96815023842272,0.6327639236715336,0.35851371391791126,149.9655478781132,0.8414589809560962
Spain,0.009397524587189851,18.08381067905945,7.719245283018868,67.57719533532281,0.7063991202905707,0.2663248730946889,687.0357769022642,0.7410752902387496
Slovakia,0.0184655963284286,14.48762536977414,7.719245283018868,70.80087187286827,0.7624255903725254,0.14605563144315659,75.46910989184393,0.6976569848843465
Slovenia,0.06115858984329611,25.441136054832764,7.719245283018868,67.79032582934444,0.7251014045882647,0.26412740355200576,40.396804156670875,0.7781060360776372
Belgium,0.0999027675305815,18.004769300686295,7.719245283018868,62.055403012969094,0.6585904454209593,0.21703331668919418,218.43368559613472,0.7723710085179631
Luxembourg,0.17521864109314142,19.05691638224929,7.719245283018868,57.26114747529592,0.587097808992845,0.12704143709815457,3.364652451924528,0.793782799833677
Portugal,0.44790271930335973,18.242429424802175,7.719245283018868,66.66579012376864,0.687483070128084,0.21589484514194981,98.01471917568075,0.7205098976198054
Lithuania,0.4900650057744663,14.87170892501696,7.719245283018868,67.22823853046388,0.6920663715544629,0.1277070184962713,14.996195849765282,0.7080023827282461
Croatia,0.5350641068923481,27.21519002294443,7.719245283018868,57.158135157003606,0.5961370758423783,0.3277771763597524,36.95517811985413,0.8364042516389969
Georgia,0.633891973410818,16.32644045114026,4.744097000638162,69.16898394035012,0.7278926591476624,0.2721073408523376,35.84917275113363,0.6043637273042215
Hungary,1.1633841193853105,27.005836612246163,7.719245283018868,55.52687665537118,0.5945324486614894,0.34466777524169945,84.35149998178831,0.8423403075450289
Denmark,1.6068883215789387,23.373888922250938,7.719245283018868,63.047032558424455,0.6433370669226985,0.19663052708269946,87.0389323754717,0.7698716034019651
Latvia,5.231812992789676,24.860064151434322,7.719245283018868,51.50130504381188,0.5397264761702716,0.3224561599122594,15.996003963758492,0.7862645902975776
Bulgaria,5.858334433399086,41.071662596873296,7.719245283018868,52.81840529125137,0.5636157962592949,0.4302086287554802,110.77412509132076,0.8538273862702794
Chile,6.165955091308658,37.913478227490494,7.710516396532228,51.40875078772981,0.5325213917194092,0.43805231940018785,225.06812187418396,0.857985427557498
Greece,7.207025949871545,38.10399702258046,7.719245283018868,43.50426849364276,0.44651142830522156,0.5534885716947785,124.5048490372151,0.8894747506502646
Germany,8.97408028388758,43.50706952150033,7.719245283018868,42.86943806251882,0.4436589357760915,0.44091495035425704,1164.6681218060376,0.8888447248483983
El Salvador,9.50897809117554,33.22029883689498,7.71342383107089,38.36639875979777,0.40066620784191426,0.2675146968215541,17.1690397067911,0.868299747491764
Argentina,9.641496356871437,38.67279404211417,7.819571865443425,35.39684979903153,0.3708234401766587,0.6207632566088019,533.1436419162844,0.9077590004696415
Italy,9.841001333471416,38.629857335603155,7.719245283018868,35.03287062601902,0.36272305768949525,0.5141390126075094,656.9208749432084,0.9031770997062941
Czech Republic,10.09129635918756,46.472763963957306,7.719245283018868,43.467727996927074,0.46744326705036493,0.45505226517676395,199.45804859604033,0.8829085825905403
Russia,11.449373354952026,44.18305947109315,7.710516396532228,35.248668084554204,0.37714370381349266,0.6178456621717173,3005.56549453562,0.9084959603766124
Bolivia,12.037116206927152,39.93081499576329,7.707611152976639,31.205124096885015,0.32685839835743297,0.6502575465030308,29.15948274749058,0.9041405640748593
Montenegro,13.627374539099408,44.93787506503693,7.719245283018868,52.617852788445944,0.5506212493496307,0.44937875065036925,9.411817226984528,0.7704202813862709
South Korea,14.968610080962405,48.975016623819684,4.694087403598972,35.59141207251552,0.38319591933617536,0.5998383471921961,1555.9119470565554,0.8493369776538345
China,29.453813224813192,60.936754462433015,7.819571865443425,33.82881279725285,0.35285388480007374,0.6057384425544765,24305.727255504586,0.8502682024322876
Mexico,31.394293027350137,50.60061804189758,7.819571865443425,21.55219657418047,0.22450566044209302,0.7625981305925009,913.1018845823777,0.859375814458017
Netherlands,32.496886301108276,46.760293709522706,7.719245283018868,17.26883953915199,0.1783392805590023,0.4452772511299094,167.96868104366038,0.8129651579762478
